col0,col1,col2,col3,col4
Kulama Gunama,K. S. Gopalakrishnan,Aazam Arts,Krishnankoil Venkadachalam Mahadevan,"Sivaji Ganesan, Jaishankar, Padmini, Vanisri, Nagesh"
Kumari Kottam,P. Neelakantan,Kay Cee Films,M. S. Viswanathan,"M. G. Ramachandran, Jayalalitha, Lakshmi, Cho, Sachu"
Meendum Vazhven,T. N. Balu,Rani Production,M. S. Viswanathan,"Ravichandran, Bharathi, Vijaya Lalitha, Nagesh"
Muhammad bin Tughluq,Cho,Prestige Productions,Manayangath Subramanian Viswanathan,"Cho, Manorama, Sukumari, G. Sakunthala"
Moondru Deivangal,Dada Mirasi,Sri Bhuvaneswari Movies,M. S. Viswanathan,"Sivaji Ganesan, R. Muthuraman, Nagesh, Sivakumar, Chandrakala"
Naangu Suvargal,K. Balachander,Screen Entertainment,Manayangath Subramanian Viswanathan,"Jaishankar, Ravichandran, Nagesh, Sowcar Janaki, Vanisri, Vijaya Lalitha, Srividya"
Needhi Dhevan,R. Devarajan,Kannan Movies,M. S. Viswanathan,"Jaishankar, Rajasree, Vennira Aadai Nirmala"
Neerum Neruppum,P. Neelakantan,Manijeh Cine Productions,Manayangath Subramanian Viswanathan,"M. G. Ramachandran, Jayalalitha, Thengai Srinivasan, Manorama, S. A. Ashokan"
Nootrukku Nooru,K. Balachander,Kalakendra Production,V. Kumar,"Jaishankar, Nagesh, Lakshmi, Vijaya Lalitha, Srividya, Jayakumari"
Oru Thai Makkal,P. Neelakantan,Naanjil Productions,Manayangath Subramanian Viswanathan,"M. G. Ramachandran, Jayalalitha, R. Muthuraman, Udaya Chandrika, Cho"
Pattondru Ketten,S. Raghavan,Kesavan Films,C. Ramachandra,"A. V. M. Rajan, Rajasree, Nagesh"
Poi Sollathey,L. Balu,Jothi Chithra Productions,Krishnankoil Venkadachalam Mahadevan,"Ravichandran, Rajasree"
Praptham,Savitri,Sri Savitri Production,M. S. Viswanathan,"Sivaji Ganesan, Savitri, Srikant Chandrakala, Nagesh"
Pudhiya Vazhkai,C. V. Rajendran,Babu Movies,K.V. Mahadevan,"Jaishankar, Jayabharathi, R. Muthuraman, A. Sakunthala, Nagesh, Sachu"
Punnagai,K. Balachander,Amutham Pictures,M. S. Viswanathan,"Gemini Ganesan, Nagesh, R. Muthuraman, Jayanthi, A. Sakunthala"
Ranga Rattinam,Krishnan-Panju,S. J. Films,V. Kumar,"Gemini Ganesan, Sowcar Janaki, Ravichandran, K. A. Thangavelu"
Rickshawkaran,M. Krishnan,Sathya Movies,M. S. Viswanathan,"M. G. Ramachandran, Manjula, Padmini, Cho, Thengai Srinivasan"
Sabatham,P. Madhavan,Devanayaki Films,G. K. Venkatesh,"K. R. Vijaya, Ravichandran, Nagesh, T. K. Bhagavathy, Anjali Devi"
Savaale Samali,Malliyam Rajagopal,Malliyam Productions,Manayangath Subramanian Viswanathan,"Sivaji Ganesan, Jayalalitha, Nagesh, C. R. Vijayakumari"
Sudarum Sooravaliyum,S. R. Puttanna,"AVM Productions, Chithramala Combines",M. S. Viswanathan,"Gemini Ganesan, R. Muthuraman, Vennira Aadai Nirmala, Chandra Mohan, Jaya Guhanathan"
Soodhattam,'Madurai' Thirumaran,Manohar Films,Manayangath Subramanian Viswanathan,"Jaishankar, K. R. Vijaya, R. Muthuraman, Cho, Vennira Aadai Nirmala, Sivakumar"
Sumathi En Sundari,C. V. Rajendran,Ramkumar Films,M. S. Viswanathan,"Sivaji Ganesan, Jayalalitha, Nagesh, K. A. Thangavelu, Thengai Srinivasan, Sachu"
Thanga Gopuram,M. S. Solaimalai,Mohan Pictures,S. M. Subbaiah Naidu,"Jaishankar, Jayalalitha, Major Sundarrajan, Vennira Aadai Nirmala, Srividya, M. R. R. Vasu, Manorama"
Thangaikkaaga,D. Yoganand,Jupiter Art Movies,Manayangath Subramanian Viswanathan,"Sivaji Ganesan, Vennira Aadai Nirmala, Lakshmi, R. Muthuraman, Nagesh"
Then Kinnam,K. Krishnamoorthy,Sri Chithra Mahal Productions,Shankar-Ganesh,"Nagesh, Vijaya Lalitha, V. K. Ramasamy, M. R. R. Vasu, Suruli Rajan, Vijaya Chandrika"
Thenum Paalum,P. Madhavan,Kasthuri Films,M. S. Viswanathan,"Sivaji Ganesan, Padmini, B. Saroja Devi, Nagesh, Sachu"
Therottam,V. T. Arasu,Shasti Films,S. M. Subbaiah Naidu,"Gemini Ganesan, Padmini, Cho, Manorama, Sivakumar"
Thirumagal,T. R. Raghunath,Govindarajaa Films,Krishnankoil Venkadachalam Mahadevan,"Gemini Ganesan, Padmini, A. V. M. Rajan, Lakshmi, Nagesh, Sivakumar, M. Bhanumathi"
Thulli Odum Pullimaan,A. B. Raj,Nadarajan Pictures,Krishnankoil Venkadachalam Mahadevan,"Ravichandran, Lakshmi, Thengai Srinivasan, M. A. Radhika"
Uttharavindri Ulle Vaa,N. C. Chakravarthy,Chitralaya Pictures,M. S. Viswanathan,"Ravichandran, Kanchana, Nagesh, Rama Prabha, Thengai Srinivasan, Vennira Aadai Moorthy, Sachu"
Uyir,Somasundar,T. V. S. Productions,R. Sridhar,"R. Muthuraman, B. Saroja Devi, Lakshmi"
Veettukoru Pillai,T. R. Ramanna,Raman Pictures,M. S. Viswanathan,"Jaishankar, Ushanandini, Nagesh,Shashi Kumar, Manohar, M. R. R. Vasu"
Veguli Penn,S. S. Devadas,Jennat Combines,V. Kumar,"Gemini Ganesan, Devika, R. Muthuraman, Vennira Aadai Nirmala, Nagesh, M. A. Radhika, Sachu"
Yaanai Valartha Vaanampadi Magan,P. Subramaniam,Neelaa Productions,K. V. Mahadevan,"Gemini Ganesan, Rajasree, Master Prabhakar, 'Baby' Sridevi"
